location,loc_name,category,dateHour,map,avgMAP,maxCIR,avgCIR,CIRatMaxMAP
1,Palace Hills,buildings,2020-04-06 00:00:00,4.73,4.73,5,4.925833333333333,5
1,Palace Hills,buildings,2020-04-06 01:00:00,5.16,5.16,5,4.656666666666666,5
1,Palace Hills,buildings,2020-04-06 02:00:00,7.59,7.59,5,4.251428571428572,3.59
1,Palace Hills,buildings,2020-04-06 03:00:00,6.88,6.88,5,4.661666666666667,3.44
1,Palace Hills,buildings,2020-04-06 04:00:00,5.11,5.11,5,4.761666666666667,5
1,Palace Hills,buildings,2020-04-06 05:00:00,4.85,4.85,5,4.903333333333333,5
1,Palace Hills,buildings,2020-04-06 06:00:00,6.02,6.02,5,4.505833333333333,5
1,Palace Hills,buildings,2020-04-06 07:00:00,6.71,6.71,5,4.559230769230769,3.88
1,Palace Hills,buildings,2020-04-06 08:00:00,7.2,7.2,5,4.6433333333333335,5
1,Palace Hills,buildings,2020-04-06 09:00:00,7.67,7.67,5,4.615833333333334,5
1,Palace Hills,buildings,2020-04-06 10:00:00,6.49,6.49,5,4.719166666666666,3.78
1,Palace Hills,buildings,2020-04-06 11:00:00,6.13,6.13,5,4.5275,5
1,Palace Hills,buildings,2020-04-06 12:00:00,5.63,5.63,5,4.696153846153846,3.7
1,Palace Hills,buildings,2020-04-06 13:00:00,4.63,4.63,5,4.875,5
1,Palace Hills,buildings,2020-04-06 14:00:00,4.01,4.01,5,4.060769230769231,5
1,Palace Hills,buildings,2020-04-06 15:00:00,4.82,4.82,5,4.075,5
1,Palace Hills,buildings,2020-04-06 16:00:00,2.44,2.44,5,3.2199999999999998,3.55
1,Palace Hills,buildings,2020-04-06 17:00:00,4.36,4.36,5,4.045333333333334,5
1,Palace Hills,buildings,2020-04-06 18:00:00,3.49,3.49,5,4.8,5
1,Palace Hills,buildings,2020-04-06 19:00:00,4.1,4.1,5,4.338461538461538,5
1,Palace Hills,buildings,2020-04-06 20:00:00,4.92,4.92,5,4.7775,5
1,Palace Hills,buildings,2020-04-06 21:00:00,5.98,5.98,5,4.8025,5
1,Palace Hills,buildings,2020-04-06 22:00:00,7.4,7.4,5,4.303846153846154,3.32
1,Palace Hills,buildings,2020-04-06 23:00:00,5.4,5.4,5,4.7683333333333335,5
1,Palace Hills,buildings,2020-04-07 00:00:00,4.85,4.85,5,4.770833333333333,3.49
1,Palace Hills,buildings,2020-04-07 01:00:00,7.35,7.35,5,4.54,5
1,Palace Hills,buildings,2020-04-07 02:00:00,6.06,6.06,5,4.5875,3.65
1,Palace Hills,buildings,2020-04-07 03:00:00,4.65,4.65,5,4.703076923076923,5
1,Palace Hills,buildings,2020-04-07 04:00:00,5.3,5.3,5,4.6883333333333335,5
1,Palace Hills,buildings,2020-04-07 05:00:00,6.37,6.37,5,4.605,5
1,Palace Hills,buildings,2020-04-07 06:00:00,7.29,7.29,5,4.651538461538461,5
1,Palace Hills,buildings,2020-04-07 07:00:00,7.33,7.33,5,4.385,5
1,Palace Hills,buildings,2020-04-07 08:00:00,6.98,6.98,5,4.450769230769231,5
1,Palace Hills,buildings,2020-04-07 09:00:00,6.75,6.75,5,4.550769230769231,5
1,Palace Hills,buildings,2020-04-07 10:00:00,5.05,5.05,5,4.7025,3.82
1,Palace Hills,buildings,2020-04-07 11:00:00,6.92,6.92,5,4.415,5
1,Palace Hills,buildings,2020-04-07 12:00:00,6.92,6.92,5,4.636923076923077,5
1,Palace Hills,buildings,2020-04-07 13:00:00,6.1,6.1,5,4.618461538461538,5
1,Palace Hills,buildings,2020-04-07 14:00:00,5.5,5.5,5,4.64,5
1,Palace Hills,buildings,2020-04-07 15:00:00,5.69,5.69,5,4.921666666666667,5
1,Palace Hills,buildings,2020-04-07 16:00:00,6.36,6.36,5,4.739166666666667,3.65
1,Palace Hills,buildings,2020-04-07 17:00:00,5.85,5.85,5,4.741666666666666,5
1,Palace Hills,buildings,2020-04-07 18:00:00,5.09,5.09,5,4.873333333333333,5
1,Palace Hills,buildings,2020-04-07 19:00:00,5.11,5.11,5,4.664615384615384,5
1,Palace Hills,buildings,2020-04-07 20:00:00,5.95,5.95,5,4.3707692307692305,5
1,Palace Hills,buildings,2020-04-07 21:00:00,4.11,4.11,5,4.7425,5
1,Palace Hills,buildings,2020-04-07 22:00:00,4.35,4.35,5,4.7784615384615385,3.62
1,Palace Hills,buildings,2020-04-07 23:00:00,6.82,6.82,5,4.385833333333333,5
1,Palace Hills,buildings,2020-04-08 00:00:00,6.93,6.93,5,4.841538461538462,5
1,Palace Hills,buildings,2020-04-08 01:00:00,7.22,7.22,5,4.787692307692308,5
1,Palace Hills,buildings,2020-04-08 02:00:00,7.53,7.53,5,4.6,5
1,Palace Hills,buildings,2020-04-08 03:00:00,7.3,7.3,5,4.498333333333333,3.92
1,Palace Hills,buildings,2020-04-08 04:00:00,7.75,7.75,5,4.411666666666667,5
1,Palace Hills,buildings,2020-04-08 05:00:00,7.39,7.39,5,4.88,5
1,Palace Hills,buildings,2020-04-08 06:00:00,6.79,6.79,5,4.426,5
1,Palace Hills,buildings,2020-04-08 07:00:00,5.78,5.78,5,4.433076923076923,3.73
1,Palace Hills,buildings,2020-04-08 08:00:00,8.8,8.8,5,3.572939189189189,5
1,Palace Hills,buildings,2020-04-08 09:00:00,8.85,8.85,4.18,3.5753125,4.08
1,Palace Hills,buildings,2020-04-08 10:00:00,8.3,8.3,4.41,3.5726262626262626,3.5
1,Palace Hills,buildings,2020-04-08 11:00:00,2.63,2.63,4.08,3.561208791208791,3.72
1,Palace Hills,buildings,2020-04-08 12:00:00,4.65,4.65,5,3.582558139534884,3.44
1,Palace Hills,buildings,2020-04-08 13:00:00,3.92,3.92,5,3.628076923076923,3.67
1,Palace Hills,buildings,2020-04-08 14:00:00,4.11,4.11,5,3.8782352941176472,3.36
1,Palace Hills,buildings,2020-04-08 15:00:00,3.48,3.48,5,4.5441666666666665,5
1,Palace Hills,buildings,2020-04-08 16:00:00,4.13,4.13,5,4.362666666666667,5
1,Palace Hills,buildings,2020-04-08 17:00:00,5.57,5.57,5,4.447692307692308,5
1,Palace Hills,buildings,2020-04-08 18:00:00,7.22,7.22,5,4.7283333333333335,5
1,Palace Hills,buildings,2020-04-08 19:00:00,6.91,6.91,5,4.898333333333333,5
1,Palace Hills,buildings,2020-04-08 20:00:00,6.89,6.89,5,4.139230769230769,3.67
1,Palace Hills,buildings,2020-04-08 21:00:00,8.13,8.13,5,4.340833333333333,5
1,Palace Hills,buildings,2020-04-08 22:00:00,7.04,7.04,5,3.972142857142857,5
1,Palace Hills,buildings,2020-04-08 23:00:00,5.32,5.32,5,4.866666666666666,5
1,Palace Hills,buildings,2020-04-09 00:00:00,7.17,7.17,5,4.609166666666667,5
1,Palace Hills,buildings,2020-04-09 01:00:00,6.42,6.42,5,4.645,5
1,Palace Hills,buildings,2020-04-09 02:00:00,6.24,6.24,5,4.6,3.76
1,Palace Hills,buildings,2020-04-09 03:00:00,5.28,5.28,5,4.815833333333333,5
1,Palace Hills,buildings,2020-04-09 04:00:00,5.5,5.5,5,4.630769230769231,5
1,Palace Hills,buildings,2020-04-09 05:00:00,5.32,5.32,5,4.701538461538462,5
1,Palace Hills,buildings,2020-04-09 06:00:00,4.68,4.68,5,4.520833333333333,5
1,Palace Hills,buildings,2020-04-09 07:00:00,4.22,4.22,5,4.793333333333333,5
1,Palace Hills,buildings,2020-04-09 08:00:00,6.4,6.4,5,4.343333333333334,3.43
1,Palace Hills,buildings,2020-04-09 09:00:00,5.69,5.69,5,4.485,5
1,Palace Hills,buildings,2020-04-09 10:00:00,4.7,4.7,5,4.67,3.77
1,Palace Hills,buildings,2020-04-09 11:00:00,7.01,7.01,5,4.171333333333333,5
1,Palace Hills,buildings,2020-04-09 12:00:00,7.22,7.22,5,4.791538461538462,5
1,Palace Hills,buildings,2020-04-09 13:00:00,5.09,5.09,5,4.740833333333334,5
1,Palace Hills,buildings,2020-04-09 14:00:00,6.38,6.38,5,4.608461538461539,3.44
1,Palace Hills,buildings,2020-04-09 15:00:00,6.18,6.18,4.16,3.5795454545454546,3.75
1,Palace Hills,buildings,2020-04-09 16:00:00,3.39,3.39,4.2,3.5641025641025643,3.72
1,Palace Hills,buildings,2020-04-09 17:00:00,2.55,2.55,5,3.6805263157894736,3.34
1,Palace Hills,buildings,2020-04-09 18:00:00,4.7,4.7,5,4.183076923076923,3.34
1,Palace Hills,buildings,2020-04-09 19:00:00,5.82,5.82,5,4.725833333333333,3.22
1,Palace Hills,buildings,2020-04-09 20:00:00,6.08,6.08,5,4.672307692307692,5
1,Palace Hills,buildings,2020-04-09 21:00:00,5.41,5.41,5,4.435384615384615,5
1,Palace Hills,buildings,2020-04-09 22:00:00,6.99,6.99,5,4.751666666666667,5
1,Palace Hills,buildings,2020-04-09 23:00:00,6.62,6.62,5,4.340769230769231,3.73
1,Palace Hills,buildings,2020-04-10 00:00:00,6.9,6.9,5,4.615,3.35
1,Palace Hills,buildings,2020-04-10 01:00:00,6.11,6.11,5,4.851666666666667,5
1,Palace Hills,buildings,2020-04-10 02:00:00,6.67,6.67,5,4.746666666666667,5
1,Palace Hills,buildings,2020-04-10 03:00:00,7.2,7.2,5,4.734166666666667,5
1,Palace Hills,buildings,2020-04-10 04:00:00,5.75,5.75,5,4.908333333333333,5
1,Palace Hills,buildings,2020-04-10 05:00:00,6.85,6.85,5,4.675833333333333,5
1,Palace Hills,buildings,2020-04-10 06:00:00,7.67,7.67,5,4.829166666666667,5
1,Palace Hills,buildings,2020-04-10 07:00:00,6.75,6.75,5,4.7025,5
