location,loc_name,category,dateHour,map,avgMAP,maxCIR,avgCIR,CIRatMaxMAP
1,Palace Hills,power,2020-04-06 00:00:00,7.66,7.66,5,4.940833333333333,5
1,Palace Hills,power,2020-04-06 01:00:00,6.55,6.55,5,4.7525,5
1,Palace Hills,power,2020-04-06 02:00:00,6.64,6.64,5,4.454285714285715,4
1,Palace Hills,power,2020-04-06 03:00:00,5.49,5.49,5,4.7941666666666665,3.9
1,Palace Hills,power,2020-04-06 04:00:00,5.73,5.73,5,4.841666666666667,5
1,Palace Hills,power,2020-04-06 05:00:00,6.39,6.39,5,4.924166666666666,5
1,Palace Hills,power,2020-04-06 06:00:00,6,6,5,4.598333333333334,5
1,Palace Hills,power,2020-04-06 07:00:00,4.37,4.37,5,4.6523076923076925,4.23
1,Palace Hills,power,2020-04-06 08:00:00,5.59,5.59,5,4.7625,5
1,Palace Hills,power,2020-04-06 09:00:00,4.03,4.03,5,4.72,5
1,Palace Hills,power,2020-04-06 10:00:00,5.78,5.78,5,4.8341666666666665,4.21
1,Palace Hills,power,2020-04-06 11:00:00,7.46,7.46,5,4.639166666666667,5
1,Palace Hills,power,2020-04-06 12:00:00,5.45,5.45,5,4.791538461538462,4.01
1,Palace Hills,power,2020-04-06 13:00:00,2.64,2.64,5,4.895833333333333,5
1,Palace Hills,power,2020-04-06 14:00:00,4.48,4.48,5,4.25076923076923,5
1,Palace Hills,power,2020-04-06 15:00:00,4.62,4.62,5,4.361428571428571,5
1,Palace Hills,power,2020-04-06 16:00:00,3.75,3.75,5,3.1366666666666667,3.56
1,Palace Hills,power,2020-04-06 17:00:00,3.75,3.75,5,3.985333333333333,5
1,Palace Hills,power,2020-04-06 18:00:00,2.35,2.35,5,4.802307692307692,5
1,Palace Hills,power,2020-04-06 19:00:00,5.63,5.63,5,4.496923076923077,5
1,Palace Hills,power,2020-04-06 20:00:00,3.13,3.13,5,4.855833333333333,5
1,Palace Hills,power,2020-04-06 21:00:00,5.95,5.95,5,4.885833333333333,5
1,Palace Hills,power,2020-04-06 22:00:00,7.39,7.39,5,4.5115384615384615,3.51
1,Palace Hills,power,2020-04-06 23:00:00,3.61,3.61,5,4.845833333333333,5
1,Palace Hills,power,2020-04-07 00:00:00,5.92,5.92,5,4.82,3.74
1,Palace Hills,power,2020-04-07 01:00:00,7.18,7.18,5,4.698333333333333,5
1,Palace Hills,power,2020-04-07 02:00:00,6.52,6.52,5,4.708333333333333,4.15
1,Palace Hills,power,2020-04-07 03:00:00,5.91,5.91,5,4.798461538461538,5
1,Palace Hills,power,2020-04-07 04:00:00,6.68,6.68,5,4.7925,5
1,Palace Hills,power,2020-04-07 05:00:00,4.53,4.53,5,4.708333333333333,5
1,Palace Hills,power,2020-04-07 06:00:00,4.75,4.75,5,4.726153846153846,5
1,Palace Hills,power,2020-04-07 07:00:00,7.86,7.86,5,4.5841666666666665,5
1,Palace Hills,power,2020-04-07 08:00:00,5.79,5.79,5,4.563846153846153,5
1,Palace Hills,power,2020-04-07 09:00:00,3.56,3.56,5,4.648461538461539,5
1,Palace Hills,power,2020-04-07 10:00:00,5.5,5.5,5,4.808333333333334,4.3
1,Palace Hills,power,2020-04-07 11:00:00,6.55,6.55,5,4.566666666666666,5
1,Palace Hills,power,2020-04-07 12:00:00,6.77,6.77,5,4.740769230769231,5
1,Palace Hills,power,2020-04-07 13:00:00,5.96,5.96,5,4.69,5
1,Palace Hills,power,2020-04-07 14:00:00,6.83,6.83,5,4.756666666666667,5
1,Palace Hills,power,2020-04-07 15:00:00,5.53,5.53,5,4.953333333333333,5
1,Palace Hills,power,2020-04-07 16:00:00,3.87,3.87,5,4.7975,4.2
1,Palace Hills,power,2020-04-07 17:00:00,4.19,4.19,5,4.8225,5
1,Palace Hills,power,2020-04-07 18:00:00,3.86,3.86,5,4.9075,5
1,Palace Hills,power,2020-04-07 19:00:00,5.29,5.29,5,4.739230769230769,5
1,Palace Hills,power,2020-04-07 20:00:00,7.79,7.79,5,4.532307692307692,5
1,Palace Hills,power,2020-04-07 21:00:00,7.3,7.3,5,4.8116666666666665,5
1,Palace Hills,power,2020-04-07 22:00:00,6.75,6.75,5,4.83,3.82
1,Palace Hills,power,2020-04-07 23:00:00,6.78,6.78,5,4.5375,5
1,Palace Hills,power,2020-04-08 00:00:00,5.9,5.9,5,4.907692307692308,5
1,Palace Hills,power,2020-04-08 01:00:00,6.26,6.26,5,4.88,5
1,Palace Hills,power,2020-04-08 02:00:00,5.44,5.44,5,4.722307692307692,5
1,Palace Hills,power,2020-04-08 03:00:00,6.83,6.83,5,4.601666666666667,4.25
1,Palace Hills,power,2020-04-08 04:00:00,8.04,8.04,5,4.549166666666666,5
1,Palace Hills,power,2020-04-08 05:00:00,6.93,6.93,5,4.918333333333333,5
1,Palace Hills,power,2020-04-08 06:00:00,5.06,5.06,5,4.594,5
1,Palace Hills,power,2020-04-08 07:00:00,5.71,5.71,5,4.618461538461538,4.06
1,Palace Hills,power,2020-04-08 08:00:00,9.82,9.82,5,3.2344594594594596,5
1,Palace Hills,power,2020-04-08 09:00:00,9.86,9.86,4.53,3.3489375,4.34
1,Palace Hills,power,2020-04-08 10:00:00,9.65,9.65,4.5,3.4116161616161618,3.88
1,Palace Hills,power,2020-04-08 11:00:00,3.67,3.67,4.27,3.014725274725275,3.18
1,Palace Hills,power,2020-04-08 12:00:00,3.36,3.36,5,3.190232558139535,2.38
1,Palace Hills,power,2020-04-08 13:00:00,3.86,3.86,5,3.5730769230769233,3.69
1,Palace Hills,power,2020-04-08 14:00:00,4.91,4.91,5,4.136470588235294,3.38
1,Palace Hills,power,2020-04-08 15:00:00,2.44,2.44,5,4.6225,5
1,Palace Hills,power,2020-04-08 16:00:00,4.11,4.11,5,4.4799999999999995,5
1,Palace Hills,power,2020-04-08 17:00:00,3.12,3.12,5,4.571538461538462,5
1,Palace Hills,power,2020-04-08 18:00:00,5.6,5.6,5,4.81,5
1,Palace Hills,power,2020-04-08 19:00:00,6.66,6.66,5,4.93,5
1,Palace Hills,power,2020-04-08 20:00:00,6.63,6.63,5,4.340769230769231,3.69
1,Palace Hills,power,2020-04-08 21:00:00,7.33,7.33,5,4.4675,5
