location,loc_name,category,dateHour,map,avgMAP,maxCIR,avgCIR,CIRatMaxMAP
1,Palace Hills,roads_and_bridges,2020-04-06 00:00:00,4.61,4.61,5,4.7091666666666665,5
1,Palace Hills,roads_and_bridges,2020-04-06 01:00:00,4.61,4.61,5,4.1066666666666665,5
1,Palace Hills,roads_and_bridges,2020-04-06 02:00:00,4.46,4.46,5,3.1285714285714286,1.4
1,Palace Hills,roads_and_bridges,2020-04-06 03:00:00,4.45,4.45,5,4.035,1.15
1,Palace Hills,roads_and_bridges,2020-04-06 04:00:00,4.45,4.45,5,4.350833333333333,5
1,Palace Hills,roads_and_bridges,2020-04-06 05:00:00,4.41,4.41,5,4.6725,5
1,Palace Hills,roads_and_bridges,2020-04-06 06:00:00,4.57,4.57,5,3.6925,5
1,Palace Hills,roads_and_bridges,2020-04-06 07:00:00,4.66,4.66,5,3.7946153846153847,1.12
1,Palace Hills,roads_and_bridges,2020-04-06 08:00:00,4.74,4.74,5,4.04,5
1,Palace Hills,roads_and_bridges,2020-04-06 09:00:00,4.71,4.71,5,4.055,5
1,Palace Hills,roads_and_bridges,2020-04-06 10:00:00,4.64,4.64,5,4.05,1.2
1,Palace Hills,roads_and_bridges,2020-04-06 11:00:00,4.65,4.65,5,3.714166666666667,5
1,Palace Hills,roads_and_bridges,2020-04-06 12:00:00,4.55,4.55,5,4.086153846153846,1.04
1,Palace Hills,roads_and_bridges,2020-04-06 13:00:00,4.47,4.47,5,4.67,5
1,Palace Hills,roads_and_bridges,2020-04-06 14:00:00,4.43,4.43,5,2.5723076923076924,5
1,Palace Hills,roads_and_bridges,2020-04-06 15:00:00,4.36,4.36,5,2.7614285714285716,5
1,Palace Hills,roads_and_bridges,2020-04-06 16:00:00,4.17,4.17,5,1.6811111111111112,1.19
1,Palace Hills,roads_and_bridges,2020-04-06 17:00:00,4.25,4.25,5,2.6733333333333333,5
1,Palace Hills,roads_and_bridges,2020-04-06 18:00:00,4.16,4.16,5,4.4338461538461535,5
1,Palace Hills,roads_and_bridges,2020-04-06 19:00:00,4.4,4.4,5,3.2192307692307693,5
1,Palace Hills,roads_and_bridges,2020-04-06 20:00:00,4.53,4.53,5,4.325,5
1,Palace Hills,roads_and_bridges,2020-04-06 21:00:00,4.65,4.65,5,4.321666666666666,5
1,Palace Hills,roads_and_bridges,2020-04-06 22:00:00,4.86,4.86,5,3.18,0.95
1,Palace Hills,roads_and_bridges,2020-04-06 23:00:00,4.93,4.93,5,4.364166666666667,5
1,Palace Hills,roads_and_bridges,2020-04-07 00:00:00,4.84,4.84,5,4.379166666666666,1.24
1,Palace Hills,roads_and_bridges,2020-04-07 01:00:00,4.96,4.96,5,3.4433333333333334,5
1,Palace Hills,roads_and_bridges,2020-04-07 02:00:00,4.91,4.91,5,3.7241666666666666,1.17
1,Palace Hills,roads_and_bridges,2020-04-07 03:00:00,4.9,4.9,5,4.132307692307692,5
1,Palace Hills,roads_and_bridges,2020-04-07 04:00:00,4.99,4.99,5,4.043333333333333,5
1,Palace Hills,roads_and_bridges,2020-04-07 05:00:00,4.94,4.94,5,4.034166666666667,5
1,Palace Hills,roads_and_bridges,2020-04-07 06:00:00,4.95,4.95,5,4.114615384615385,5
1,Palace Hills,roads_and_bridges,2020-04-07 07:00:00,5.01,5.01,5,3.3941666666666666,5
1,Palace Hills,roads_and_bridges,2020-04-07 08:00:00,5.02,5.02,5,3.796153846153846,5
1,Palace Hills,roads_and_bridges,2020-04-07 09:00:00,5.01,5.01,5,3.793076923076923,5
1,Palace Hills,roads_and_bridges,2020-04-07 10:00:00,4.98,4.98,5,4.009166666666666,1.08
1,Palace Hills,roads_and_bridges,2020-04-07 11:00:00,4.99,4.99,5,3.3341666666666665,5
1,Palace Hills,roads_and_bridges,2020-04-07 12:00:00,4.99,4.99,5,4.082307692307692,5
1,Palace Hills,roads_and_bridges,2020-04-07 13:00:00,5.08,5.08,5,4.06,5
1,Palace Hills,roads_and_bridges,2020-04-07 14:00:00,5.06,5.06,5,3.99,5
1,Palace Hills,roads_and_bridges,2020-04-07 15:00:00,5.02,5.02,5,4.663333333333333,5
1,Palace Hills,roads_and_bridges,2020-04-07 16:00:00,5.02,5.02,5,4.331666666666667,1.01
1,Palace Hills,roads_and_bridges,2020-04-07 17:00:00,5.07,5.07,5,4.331666666666667,5
