location,loc_name,category,dateHour,map,avgMAP,maxCIR,avgCIR,CIRatMaxMAP
1,Palace Hills,sewer_and_water,2020-04-06 00:00:00,4.98,4.98,5,4.91,5
1,Palace Hills,sewer_and_water,2020-04-06 01:00:00,6.69,6.69,5,4.6241666666666665,5
1,Palace Hills,sewer_and_water,2020-04-06 02:00:00,6,6,5,4.210714285714285,3.55
1,Palace Hills,sewer_and_water,2020-04-06 03:00:00,5.7,5.7,5,4.654166666666667,3.32
1,Palace Hills,sewer_and_water,2020-04-06 04:00:00,7.6,7.6,5,4.765833333333333,5
1,Palace Hills,sewer_and_water,2020-04-06 05:00:00,8.04,8.04,5,4.889166666666666,5
1,Palace Hills,sewer_and_water,2020-04-06 06:00:00,8.51,8.51,5,4.485833333333334,5
1,Palace Hills,sewer_and_water,2020-04-06 07:00:00,4.7,4.7,5,4.506923076923077,3.73
1,Palace Hills,sewer_and_water,2020-04-06 08:00:00,4.69,4.69,5,4.6275,5
1,Palace Hills,sewer_and_water,2020-04-06 09:00:00,6.31,6.31,5,4.59,5
1,Palace Hills,sewer_and_water,2020-04-06 10:00:00,5.27,5.27,5,4.698333333333333,3.71
1,Palace Hills,sewer_and_water,2020-04-06 11:00:00,6.41,6.41,5,4.4991666666666665,5
1,Palace Hills,sewer_and_water,2020-04-06 12:00:00,5.7,5.7,5,4.680769230769231,3.63
1,Palace Hills,sewer_and_water,2020-04-06 13:00:00,6.47,6.47,5,4.863333333333333,5
1,Palace Hills,sewer_and_water,2020-04-06 14:00:00,7.55,7.55,5,4.137692307692308,5
1,Palace Hills,sewer_and_water,2020-04-06 15:00:00,4.73,4.73,5,4.053571428571429,5
1,Palace Hills,sewer_and_water,2020-04-06 16:00:00,1.8,1.8,5,3.0344444444444445,3.47
1,Palace Hills,sewer_and_water,2020-04-06 17:00:00,3.18,3.18,5,3.926,5
1,Palace Hills,sewer_and_water,2020-04-06 18:00:00,1.44,1.44,5,4.702307692307692,5
1,Palace Hills,sewer_and_water,2020-04-06 19:00:00,5.2,5.2,5,4.340769230769231,5
1,Palace Hills,sewer_and_water,2020-04-06 20:00:00,4.79,4.79,5,4.7775,5
1,Palace Hills,sewer_and_water,2020-04-06 21:00:00,4.43,4.43,5,4.7775,5
1,Palace Hills,sewer_and_water,2020-04-06 22:00:00,6.14,6.14,5,4.263076923076923,3.16
1,Palace Hills,sewer_and_water,2020-04-06 23:00:00,6.38,6.38,5,4.7508333333333335,5
1,Palace Hills,sewer_and_water,2020-04-07 00:00:00,6.29,6.29,5,4.7475,3.33
1,Palace Hills,sewer_and_water,2020-04-07 01:00:00,7.71,7.71,5,4.4925,5
1,Palace Hills,sewer_and_water,2020-04-07 02:00:00,5.52,5.52,5,4.581666666666667,3.73
1,Palace Hills,sewer_and_water,2020-04-07 03:00:00,6.52,6.52,5,4.68,5
1,Palace Hills,sewer_and_water,2020-04-07 04:00:00,7.6,7.6,5,4.695833333333334,5
1,Palace Hills,sewer_and_water,2020-04-07 05:00:00,6.69,6.69,5,4.573333333333333,5
1,Palace Hills,sewer_and_water,2020-04-07 06:00:00,6.05,6.05,5,4.612307692307692,5
1,Palace Hills,sewer_and_water,2020-04-07 07:00:00,5.62,5.62,5,4.368333333333333,5
1,Palace Hills,sewer_and_water,2020-04-07 08:00:00,6,6,5,4.422307692307692,5
1,Palace Hills,sewer_and_water,2020-04-07 09:00:00,5.36,5.36,5,4.513076923076923,5
1,Palace Hills,sewer_and_water,2020-04-07 10:00:00,3.97,3.97,5,4.670833333333333,3.76
1,Palace Hills,sewer_and_water,2020-04-07 11:00:00,2.92,2.92,5,4.3475,5
1,Palace Hills,sewer_and_water,2020-04-07 12:00:00,5.38,5.38,5,4.655384615384615,5
1,Palace Hills,sewer_and_water,2020-04-07 13:00:00,5.43,5.43,5,4.616923076923077,5
1,Palace Hills,sewer_and_water,2020-04-07 14:00:00,5.86,5.86,5,4.6425,5
1,Palace Hills,sewer_and_water,2020-04-07 15:00:00,5.58,5.58,5,4.903333333333333,5
1,Palace Hills,sewer_and_water,2020-04-07 16:00:00,5.62,5.62,5,4.713333333333333,3.58
1,Palace Hills,sewer_and_water,2020-04-07 17:00:00,4.73,4.73,5,4.726666666666667,5
1,Palace Hills,sewer_and_water,2020-04-07 18:00:00,5.06,5.06,5,4.864166666666667,5
1,Palace Hills,sewer_and_water,2020-04-07 19:00:00,5.46,5.46,5,4.627692307692308,5
1,Palace Hills,sewer_and_water,2020-04-07 20:00:00,4.25,4.25,5,4.33,5
1,Palace Hills,sewer_and_water,2020-04-07 21:00:00,5.05,5.05,5,4.716666666666667,5
1,Palace Hills,sewer_and_water,2020-04-07 22:00:00,5.57,5.57,5,4.7553846153846155,3.34
1,Palace Hills,sewer_and_water,2020-04-07 23:00:00,5.85,5.85,5,4.325833333333334,5
