location,category,time,rating,n
1,buildings,2020-04-06T00:35:00Z,5,1
1,buildings,2020-04-06T01:20:00Z,3,1
1,buildings,2020-04-06T01:25:00Z,6,1
1,buildings,2020-04-06T01:35:00Z,0,1
1,buildings,2020-04-06T02:00:00Z,10,1
1,buildings,2020-04-06T02:15:00Z,2,1
1,buildings,2020-04-06T02:15:00Z,9,1
1,buildings,2020-04-06T02:20:00Z,6,1
1,buildings,2020-04-06T02:25:00Z,4,1
1,buildings,2020-04-06T02:25:00Z,10,1
1,buildings,2020-04-06T02:30:00Z,10,1
1,buildings,2020-04-06T03:00:00Z,10,1
1,buildings,2020-04-06T03:05:00Z,7,1
1,buildings,2020-04-06T03:50:00Z,4,1
1,buildings,2020-04-06T04:15:00Z,6,1
1,buildings,2020-04-06T04:40:00Z,2,1
1,buildings,2020-04-06T05:20:00Z,5,1
1,buildings,2020-04-06T06:25:00Z,10,1
1,buildings,2020-04-06T06:30:00Z,2,1
1,buildings,2020-04-06T06:40:00Z,1,1
1,buildings,2020-04-06T06:50:00Z,8,1
1,buildings,2020-04-06T07:00:00Z,5,1
1,buildings,2020-04-06T07:15:00Z,2,1
1,buildings,2020-04-06T07:40:00Z,10,2
1,buildings,2020-04-06T08:05:00Z,0,1
1,buildings,2020-04-06T08:20:00Z,10,1
1,buildings,2020-04-06T08:30:00Z,7,1
1,buildings,2020-04-06T09:15:00Z,10,1
1,buildings,2020-04-06T09:35:00Z,6,1
1,buildings,2020-04-06T09:45:00Z,10,1
1,buildings,2020-04-06T10:00:00Z,3,1
1,buildings,2020-04-06T10:25:00Z,10,1
1,buildings,2020-04-06T10:45:00Z,0,1
1,buildings,2020-04-06T11:15:00Z,8,1
1,buildings,2020-04-06T11:30:00Z,6,1
1,buildings,2020-04-06T11:40:00Z,10,1
1,buildings,2020-04-06T11:45:00Z,0,1
1,buildings,2020-04-06T12:00:00Z,0,1
1,buildings,2020-04-06T12:00:00Z,9,1
1,buildings,2020-04-06T12:15:00Z,9,1
1,buildings,2020-04-06T13:15:00Z,9,1
1,buildings,2020-04-06T14:05:00Z,1,1
1,buildings,2020-04-06T14:10:00Z,0,1
1,buildings,2020-04-06T14:15:00Z,5,1
1,buildings,2020-04-06T14:25:00Z,5,1
1,buildings,2020-04-06T14:35:00Z,0,1
1,buildings,2020-04-06T14:45:00Z,2,1
1,buildings,2020-04-06T14:50:00Z,0,2
1,buildings,2020-04-06T15:10:00Z,0,1
1,buildings,2020-04-06T15:30:00Z,0,1
1,buildings,2020-04-06T15:30:00Z,5,1
1,buildings,2020-04-06T15:40:00Z,0,1
1,buildings,2020-04-06T15:45:00Z,5,1
1,buildings,2020-04-06T15:50:00Z,7,1
1,buildings,2020-04-06T15:50:00Z,9,1
1,buildings,2020-04-06T15:55:00Z,1,1
1,buildings,2020-04-06T16:00:00Z,0,2
1,buildings,2020-04-06T16:05:00Z,0,1
1,buildings,2020-04-06T16:10:00Z,1,1
1,buildings,2020-04-06T16:15:00Z,-0,2
1,buildings,2020-04-06T16:15:00Z,6,1
1,buildings,2020-04-06T16:20:00Z,0,1
1,buildings,2020-04-06T16:25:00Z,0,2
1,buildings,2020-04-06T16:30:00Z,0,1
1,buildings,2020-04-06T16:35:00Z,8,1
1,buildings,2020-04-06T16:40:00Z,0,2
1,buildings,2020-04-06T16:40:00Z,1,1
1,buildings,2020-04-06T16:50:00Z,0,1
1,buildings,2020-04-06T16:55:00Z,1,1
1,buildings,2020-04-06T17:10:00Z,-0,1
1,buildings,2020-04-06T17:10:00Z,10,1
1,buildings,2020-04-06T17:25:00Z,-0,1
1,buildings,2020-04-06T17:25:00Z,9,1
1,buildings,2020-04-06T17:30:00Z,0,2
