location,loc_name,category,dateHour,map,avgMAP,maxCIR,avgCIR,CIRatMaxMAP
1,Palace Hills,shake_intensity,2020-04-06 00:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-06 01:00:00,0.52,0.52,5,4.616666666666666,5
1,Palace Hills,shake_intensity,2020-04-06 02:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-06 03:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-06 04:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-06 05:00:00,0.51,0.51,5,4.619166666666667,5
1,Palace Hills,shake_intensity,2020-04-06 06:00:00,0.5,0.5,5,4.2375,5
1,Palace Hills,shake_intensity,2020-04-06 07:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-06 08:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-06 09:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-06 10:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-06 11:00:00,0.53,0.53,5,4.233333333333333,5
1,Palace Hills,shake_intensity,2020-04-06 12:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-06 13:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-06 14:00:00,0.52,0.52,5,3.475,5
1,Palace Hills,shake_intensity,2020-04-06 15:00:00,0.49,0.49,5,4.235,5
1,Palace Hills,shake_intensity,2020-04-06 16:00:00,0.55,0.55,5,0.661875,0.41
1,Palace Hills,shake_intensity,2020-04-06 17:00:00,0.57,0.57,5,2.853846153846154,5
1,Palace Hills,shake_intensity,2020-04-06 18:00:00,0.53,0.53,5,4.2846153846153845,5
1,Palace Hills,shake_intensity,2020-04-06 19:00:00,0.58,0.58,5,4.225,5
1,Palace Hills,shake_intensity,2020-04-06 20:00:00,0.56,0.56,5,4.613333333333333,5
1,Palace Hills,shake_intensity,2020-04-06 21:00:00,0.58,0.58,5,4.613333333333333,5
1,Palace Hills,shake_intensity,2020-04-06 22:00:00,0.59,0.59,5,4.614166666666667,0.37
1,Palace Hills,shake_intensity,2020-04-06 23:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 00:00:00,0.62,0.62,5,4.225833333333333,0.34
1,Palace Hills,shake_intensity,2020-04-07 01:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 02:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 03:00:00,0.61,0.61,5,4.614166666666667,5
1,Palace Hills,shake_intensity,2020-04-07 04:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 05:00:00,0.63,0.63,5,4.614166666666667,5
1,Palace Hills,shake_intensity,2020-04-07 06:00:00,0.65,0.65,5,4.614166666666667,5
1,Palace Hills,shake_intensity,2020-04-07 07:00:00,0.68,0.68,5,4.614166666666667,5
1,Palace Hills,shake_intensity,2020-04-07 08:00:00,0.67,0.67,5,4.614166666666667,5
1,Palace Hills,shake_intensity,2020-04-07 09:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 10:00:00,0.67,0.67,5,4.226666666666667,0.36
1,Palace Hills,shake_intensity,2020-04-07 11:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 12:00:00,0.69,0.69,5,4.613333333333333,5
1,Palace Hills,shake_intensity,2020-04-07 13:00:00,0.71,0.71,5,4.613333333333333,5
1,Palace Hills,shake_intensity,2020-04-07 14:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 15:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 16:00:00,0.66,0.66,5,4.615,5
1,Palace Hills,shake_intensity,2020-04-07 17:00:00,0.7,0.7,5,4.615,5
1,Palace Hills,shake_intensity,2020-04-07 18:00:00,0.67,0.67,5,4.613333333333333,5
1,Palace Hills,shake_intensity,2020-04-07 19:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 20:00:00,0.74,0.74,5,4.613333333333333,5
1,Palace Hills,shake_intensity,2020-04-07 21:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 22:00:00,0,0,5,5,5
1,Palace Hills,shake_intensity,2020-04-07 23:00:00,0.72,0.72,5,4.223333333333334,5
1,Palace Hills,shake_intensity,2020-04-08 00:00:00,0,0,5,5,5
